Length,Weight,Fec,SC,Year
310.2,212.83,49478.47596,Fall,2022
289.9,227.01,42769.79907,Fall,2022
309.8,278.43,95598.02689,Fall,2022
312.2,305.48,103511.694,Fall,2022
281.7,194.02,88834.20608,Fall,2022
281,174.47,34426.39843,Fall,2022
272.8,153.46,32776.15265,Fall,2022
327.1,296.82,113389.3671,Fall,2022
317.2,251.9,91502.11155,Fall,2022
314.8,206.52,49498.48246,Fall,2022
312.8,229.04,43078.85714,Fall,2022
285.4,210.38,65235.77008,Fall,2022
312.4,276.43,97172.67984,Fall,2022
292.3,230.12,72062.71474,Fall,2022
302.1,247.05,104761.8457,Fall,2022
313.8,248.96,106141.5521,Fall,2022
305.1,257.6,105654.4357,Fall,2022
355,339,132568,Spring,1970s
318,283,87421,Spring,1970s
318,251,92521,Spring,1970s
312,253,71594,Spring,1970s
347,300,96099,Spring,1970s
336,287,92266,Spring,1970s
342,354,96405,Spring,1970s
336,318,100974,Spring,1970s
316,256,90526,Spring,1970s
315,258,80943,Spring,1970s
331,257,68988,Spring,1970s
355,317,100374,Spring,1970s
321,366,81829,Spring,1970s
322,270,83483,Spring,1970s
330,258,48083,Spring,1970s
312,233,57715,Spring,1970s
326,267,75928,Spring,1970s
311,238,73371,Spring,1970s
313,252,68145,Spring,1970s
338,290,105424,Spring,1970s
323,260,89769,Spring,1970s
329,293,81611,Spring,1970s
327,286,76030,Spring,1970s
332,246,47592,Spring,1970s
337,298,77871,Spring,1970s
320,260,79723,Spring,1970s
319,268,66954,Spring,1970s
320,266,72048,Spring,1970s
287,188,34648,Spring,1970s
333,292,81617,Spring,1970s
318,227,54936,Spring,1970s
297,207,48969,Spring,1970s
313,239,31767,Spring,1970s
323,261,67373,Spring,1970s
315,240,55638,Spring,1970s
301,214,54521,Spring,1970s
332,299,75811,Spring,1970s
315,257,28157,Spring,1970s
316,242,45564,Spring,1970s
350,309,38071,Spring,1970s
259,138,23478,Spring,1970s
297,217,53538,Spring,1970s
328,263,56566,Spring,1970s
262,120,27303,Spring,1970s
293,182,36142,Spring,1970s
336,274,42799,Spring,1970s
313,244,74404,Spring,1970s
347,290,55818,Spring,1970s
332,269,62228,Spring,1970s
275,154,27056,Spring,1970s
306,234,40132,Spring,1970s
305,223,39835,Spring,1970s
346,326,62524,Spring,1970s
285,167,26829,Spring,1970s
318,280,25474,Spring,1970s
322,263,46681,Spring,1970s
322,360,93520,Fall,1970s
352,391,109828,Fall,1970s
347,342,96198,Fall,1970s
322,306,105448,Fall,1970s
357,407,136744,Fall,1970s
363,397,133792,Fall,1970s
290,197,48089,Spring,1970s
300,216,36158,Spring,1970s
278,162,26088,Spring,1970s
290,191,47583,Spring,1970s
286,176,39912,Spring,1970s
314,242,49451,Spring,1970s
291,167,42209,Spring,1970s
301,221,51881,Spring,1970s
282,168,30370,Spring,1970s
295,218,41796,Spring,1970s
306,224,50679,Spring,1970s
301,208,55102,Spring,1970s
283,165,50335,Spring,1970s
278,155,23620,Spring,1970s
306,216,75509,Spring,1970s
287,191,46852,Spring,1970s
312,219,64720,Spring,1970s
291,182,15229,Spring,1970s
290,174,42548,Spring,1970s
287,174,31627,Spring,1970s
288,171,35453,Spring,1970s
305,232,57435,Spring,1970s
296,204,33209,Spring,1970s
269,147,19594,Spring,1970s
285,190,34370,Spring,1970s
300,213,27961,Spring,1970s
,,86629,Fall,1970s
347,336,88016,Fall,1970s
298,237,81088,Fall,1970s
320,305,138310,Fall,1970s
322,310,92144,Fall,1970s
325,326,94292,Fall,1970s
346,333,181610,Fall,1970s
337,303,156668,Fall,1970s
312,270,91289,Fall,1970s
315,253,110024,Fall,1970s
323,276,115549,Fall,1970s
297,209,74469,Fall,1970s
320,272,126846,Fall,1970s
320,285,108262,Fall,1970s
318,240,57750,Fall,1970s
345,343,104576,Fall,1970s
373,460,62457,Fall,1970s
365,420,136481,Fall,1970s
326,297,90678,Fall,1970s
311,224,45021,Fall,1970s
312,237,67653,Fall,1970s
359,290,64936,Fall,1970s
322,314,86740,Fall,1970s
322,314,106517,Fall,1970s
354,349,120012,Fall,1970s
312,277,80464,Fall,1970s
348,346,122079,Fall,1970s
312,277,97790,Fall,1970s
314,271,77939,Fall,1970s
314,256,63429,Fall,1970s
284,169,33727,Spring,1970s
296,200,47329,Spring,1970s
301,204,30924,Spring,1970s
287,171,12227,Spring,1970s
294,183,23543,Spring,1970s
315,266,43279,Spring,1970s
289,166,20196,Spring,1970s
